Fecha_scrapeo,Persona,Pais,Institucion,Tipo_Fuente,Bloque_Busqueda,Video_id,Titulo,Duracion_min,Comentarios
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,WlqSVfM6h14,Inscripción al CBC y UBA XXI - ACTUALIZADO 2025,10.4,1013
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,OTbBjEmqLWA,Legalización título secundario UBA,8.8,946
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,-7tyeLES518,Selección Sede y Turno CBC UBA#cbc #universidadpública #universidad #psicologia #viral ,4.8,117
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,zAUEyvlcb4w,Pre-inscripción CBC UBA PASO a PASO#cbc  #universidadpública #argentina #universidad #psicologia ,6.8,116
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,xK7csgLfN3U,Inscripción UBA PASO A PASO para extranjeros Sin DNI 2025,5.4,43
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,CMopxHcxgiM,Inscribir Materias CBC UBA PRESENCIAL-Paso a Paso#cbc #universidadpública #argentina #inscripciones ,3.5,34
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,Nc2ja83kGWQ,Cómo hago para inscribirme al CBC de la UBA 2026?,2.8,33
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,W09oLFd-4UE,ingreso UBA para extranjeros,5.8,21
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,NgYQZ_01e1U,Inscripción al IAR | Medicina UBA,16.6,14
2026-07-12,Frank_Figueroa,Argentina,Universidad de Buenos Aires,,Ingreso,-KSSSlTHY1A,INGRESO A LA UBA 2026🎓👉🏼PREINGRESO: del 2/2 hasta el 18/2,1.1,7
